,edges,infection_time
442,107.0 (interacts with) 99.0,9
443,107.0 (interacts with) 35.0,-1
444,107.0 (interacts with) 211.0,-1
445,107.0 (interacts with) 149.0,-1
446,67.0 (interacts with) 191.0,4
447,67.0 (interacts with) 72.0,-1
448,67.0 (interacts with) 80.0,-1
449,67.0 (interacts with) 169.0,-1
450,67.0 (interacts with) 248.0,-1
451,67.0 (interacts with) 363.0,4
452,67.0 (interacts with) 167.0,-1
453,67.0 (interacts with) 66.0,4
454,67.0 (interacts with) 358.0,4
455,67.0 (interacts with) 357.0,-1
456,67.0 (interacts with) 338.0,3
457,67.0 (interacts with) 293.0,-1
458,241.0 (interacts with) 79.0,9
459,241.0 (interacts with) 42.0,8
460,241.0 (interacts with) 244.0,8
461,241.0 (interacts with) 246.0,9
462,259.0 (interacts with) 21.0,9
463,21.0 (interacts with) 9.0,-1
464,21.0 (interacts with) 109.0,9
465,21.0 (interacts with) 221.0,-1
466,21.0 (interacts with) 233.0,-1
467,21.0 (interacts with) 287.0,-1
468,21.0 (interacts with) 348.0,8
469,21.0 (interacts with) 322.0,-1
470,21.0 (interacts with) 158.0,9
471,21.0 (interacts with) 320.0,9
472,13.0 (interacts with) 17.0,8
473,13.0 (interacts with) 19.0,7
474,13.0 (interacts with) 190.0,-1
475,13.0 (interacts with) 349.0,-1
476,13.0 (interacts with) 22.0,-1
477,13.0 (interacts with) 304.0,-1
478,17.0 (interacts with) 12.0,9
479,17.0 (interacts with) 258.0,-1
480,17.0 (interacts with) 365.0,-1
481,17.0 (interacts with) 242.0,9
482,17.0 (interacts with) 215.0,-1
483,17.0 (interacts with) 281.0,9
484,17.0 (interacts with) 319.0,9
485,19.0 (interacts with) 26.0,6
486,19.0 (interacts with) 182.0,-1
487,190.0 (interacts with) 7.0,11
488,190.0 (interacts with) 223.0,10
489,190.0 (interacts with) 125.0,-1
490,349.0 (interacts with) 128.0,8
491,349.0 (interacts with) 244.0,-1
492,349.0 (interacts with) 194.0,8
493,349.0 (interacts with) 348.0,-1
494,22.0 (interacts with) 23.0,7
495,22.0 (interacts with) 24.0,-1
496,304.0 (interacts with) 68.0,11
497,304.0 (interacts with) 305.0,-1
498,304.0 (interacts with) 359.0,-1
499,304.0 (interacts with) 149.0,12
500,14.0 (interacts with) 92.0,9
501,92.0 (interacts with) 24.0,10
502,92.0 (interacts with) 90.0,9
503,92.0 (interacts with) 132.0,-1
504,92.0 (interacts with) 188.0,10
505,92.0 (interacts with) 294.0,10
506,47.0 (interacts with) 165.0,-1
507,47.0 (interacts with) 65.0,8
508,47.0 (interacts with) 334.0,9
509,47.0 (interacts with) 235.0,-1
510,47.0 (interacts with) 81.0,-1
511,366.0 (interacts with) 367.0,-1
512,366.0 (interacts with) 368.0,10
513,366.0 (interacts with) 91.0,-1
514,367.0 (interacts with) 334.0,10
515,367.0 (interacts with) 179.0,11
