"infected_nodes","name","nb","selected","shared name"
"7.0","32.0","0.437954375","false","32.0"
"-1.0","119.0","0.325578395","false","119.0"
"6.0","8.0","0.417706751","false","8.0"
"13.0","201.0","0.477098119","false","201.0"
"1.0","67.0","0.551395247","false","67.0"
"7.0","95.0","0.474581285","false","95.0"
"-1.0","115.0","0.123331723","false","115.0"
"-1.0","215.0","0.154627196","false","215.0"
"4.0","52.0","0.571206207","false","52.0"
"-1.0","350.0","0.196451228","false","350.0"
"-1.0","70.0","0.565868649","false","70.0"
"-1.0","323.0","0.163795395","false","323.0"
"-1.0","313.0","0.221446947","false","313.0"
"-1.0","166.0","0.131366244","false","166.0"
"1.0","165.0","0.188999198","false","165.0"
"1.0","154.0","0.251632874","false","154.0"
"6.0","128.0","0.27476033","false","128.0"
"1.0","126.0","0.239595017","false","126.0"
"-1.0","47.0","0.463150071","false","47.0"
"-1.0","46.0","0.34929593","false","46.0"
"-1.0","44.0","0.119295974","false","44.0"
"11.0","15.0","0.647759801","false","15.0"
"12.0","14.0","0.177772281","false","14.0"
"-1.0","13.0","0.418999321","false","13.0"
"-1.0","45.0","0.485864995","false","45.0"
"-1.0","30.0","0.163329536","false","30.0"
"-1.0","127.0","0.207660202","false","127.0"
"16.0","86.0","0.383824779","false","86.0"
"-1.0","131.0","0.344532888","false","131.0"
"5.0","113.0","0.613175599","false","113.0"
"12.0","16.0","0.796542328","false","16.0"
"-1.0","5.0","0.895456827","false","5.0"
"0.0","4.0","0.983558708","false","4.0"
"-1.0","326.0","0.023483038","false","326.0"
"8.0","98.0","0.084191652","false","98.0"
"-1.0","232.0","0.068891077","false","232.0"
"13.0","1.0","0.469134432","false","1.0"
"-1.0","297.0","0.007380919","false","297.0"
"-1.0","233.0","0.065213256","false","233.0"
"-1.0","3.0","0.001470993","false","3.0"
"-1.0","2.0","0.006878911","false","2.0"
