"","infection_time","interaction","name","selected","shared interaction","shared name"
"577","-1","interacts with","41.0 (interacts with) 244.0","false","interacts with","41.0 (interacts with) 244.0"
"576","-1","interacts with","41.0 (interacts with) 43.0","false","interacts with","41.0 (interacts with) 43.0"
"575","-1","interacts with","80.0 (interacts with) 132.0","false","interacts with","80.0 (interacts with) 132.0"
"574","-1","interacts with","80.0 (interacts with) 121.0","false","interacts with","80.0 (interacts with) 121.0"
"515","14","interacts with","263.0 (interacts with) 262.0","false","interacts with","263.0 (interacts with) 262.0"
"514","13","interacts with","263.0 (interacts with) 351.0","false","interacts with","263.0 (interacts with) 351.0"
"513","14","interacts with","263.0 (interacts with) 160.0","false","interacts with","263.0 (interacts with) 160.0"
"664","-1","interacts with","240.0 (interacts with) 260.0","false","interacts with","240.0 (interacts with) 260.0"
"663","5","interacts with","240.0 (interacts with) 246.0","false","interacts with","240.0 (interacts with) 246.0"
"677","9","interacts with","123.0 (interacts with) 122.0","false","interacts with","123.0 (interacts with) 122.0"
"761","-1","interacts with","68.0 (interacts with) 243.0","false","interacts with","68.0 (interacts with) 243.0"
"760","-1","interacts with","68.0 (interacts with) 278.0","false","interacts with","68.0 (interacts with) 278.0"
"893","-1","interacts with","358.0 (interacts with) 224.0","false","interacts with","358.0 (interacts with) 224.0"
"892","-1","interacts with","205.0 (interacts with) 284.0","false","interacts with","205.0 (interacts with) 284.0"
"784","-1","interacts with","172.0 (interacts with) 33.0","false","interacts with","172.0 (interacts with) 33.0"
"783","-1","interacts with","172.0 (interacts with) 171.0","false","interacts with","172.0 (interacts with) 171.0"
"661","-1","interacts with","60.0 (interacts with) 359.0","false","interacts with","60.0 (interacts with) 359.0"
"660","-1","interacts with","60.0 (interacts with) 358.0","false","interacts with","60.0 (interacts with) 358.0"
"659","-1","interacts with","60.0 (interacts with) 357.0","false","interacts with","60.0 (interacts with) 357.0"
"658","-1","interacts with","60.0 (interacts with) 58.0","false","interacts with","60.0 (interacts with) 58.0"
"618","6","interacts with","76.0 (interacts with) 35.0","false","interacts with","76.0 (interacts with) 35.0"
"808","-1","interacts with","36.0 (interacts with) 219.0","false","interacts with","36.0 (interacts with) 219.0"
"556","-1","interacts with","146.0 (interacts with) 211.0","false","interacts with","146.0 (interacts with) 211.0"
"555","-1","interacts with","146.0 (interacts with) 148.0","false","interacts with","146.0 (interacts with) 148.0"
"686","-1","interacts with","265.0 (interacts with) 262.0","false","interacts with","265.0 (interacts with) 262.0"
"685","-1","interacts with","265.0 (interacts with) 264.0","false","interacts with","265.0 (interacts with) 264.0"
"684","-1","interacts with","265.0 (interacts with) 34.0","false","interacts with","265.0 (interacts with) 34.0"
"687","-1","interacts with","299.0 (interacts with) 220.0","false","interacts with","299.0 (interacts with) 220.0"
"501","-1","interacts with","101.0 (interacts with) 102.0","false","interacts with","101.0 (interacts with) 102.0"
"500","-1","interacts with","101.0 (interacts with) 7.0","false","interacts with","101.0 (interacts with) 7.0"
"641","-1","interacts with","132.0 (interacts with) 333.0","false","interacts with","132.0 (interacts with) 333.0"
"640","-1","interacts with","132.0 (interacts with) 133.0","false","interacts with","132.0 (interacts with) 133.0"
"639","-1","interacts with","132.0 (interacts with) 82.0","false","interacts with","132.0 (interacts with) 82.0"
"638","-1","interacts with","132.0 (interacts with) 75.0","false","interacts with","132.0 (interacts with) 75.0"
"637","-1","interacts with","130.0 (interacts with) 134.0","false","interacts with","130.0 (interacts with) 134.0"
"636","-1","interacts with","130.0 (interacts with) 132.0","false","interacts with","130.0 (interacts with) 132.0"
"635","-1","interacts with","130.0 (interacts with) 6.0","false","interacts with","130.0 (interacts with) 6.0"
"628","-1","interacts with","199.0 (interacts with) 35.0","false","interacts with","199.0 (interacts with) 35.0"
"627","-1","interacts with","199.0 (interacts with) 356.0","false","interacts with","199.0 (interacts with) 356.0"
"626","-1","interacts with","199.0 (interacts with) 203.0","false","interacts with","199.0 (interacts with) 203.0"
"759","-1","interacts with","107.0 (interacts with) 82.0","false","interacts with","107.0 (interacts with) 82.0"
"758","-1","interacts with","107.0 (interacts with) 309.0","false","interacts with","107.0 (interacts with) 309.0"
"757","-1","interacts with","107.0 (interacts with) 33.0","false","interacts with","107.0 (interacts with) 33.0"
"756","-1","interacts with","290.0 (interacts with) 292.0","false","interacts with","290.0 (interacts with) 292.0"
"755","-1","interacts with","290.0 (interacts with) 321.0","false","interacts with","290.0 (interacts with) 321.0"
"754","-1","interacts with","290.0 (interacts with) 291.0","false","interacts with","290.0 (interacts with) 291.0"
"753","-1","interacts with","122.0 (interacts with) 230.0","false","interacts with","122.0 (interacts with) 230.0"
"752","-1","interacts with","122.0 (interacts with) 66.0","false","interacts with","122.0 (interacts with) 66.0"
"751","9","interacts with","122.0 (interacts with) 31.0","false","interacts with","122.0 (interacts with) 31.0"
"750","-1","interacts with","49.0 (interacts with) 226.0","false","interacts with","49.0 (interacts with) 226.0"
"749","-1","interacts with","49.0 (interacts with) 182.0","false","interacts with","49.0 (interacts with) 182.0"
"748","-1","interacts with","49.0 (interacts with) 181.0","false","interacts with","49.0 (interacts with) 181.0"
"747","-1","interacts with","49.0 (interacts with) 74.0","false","interacts with","49.0 (interacts with) 74.0"
"730","-1","interacts with","10.0 (interacts with) 72.0","false","interacts with","10.0 (interacts with) 72.0"
"729","-1","interacts with","10.0 (interacts with) 11.0","false","interacts with","10.0 (interacts with) 11.0"
"728","-1","interacts with","10.0 (interacts with) 9.0","false","interacts with","10.0 (interacts with) 9.0"
"842","-1","interacts with","184.0 (interacts with) 187.0","false","interacts with","184.0 (interacts with) 187.0"
"841","-1","interacts with","184.0 (interacts with) 186.0","false","interacts with","184.0 (interacts with) 186.0"
"840","-1","interacts with","184.0 (interacts with) 312.0","false","interacts with","184.0 (interacts with) 312.0"
"839","-1","interacts with","184.0 (interacts with) 185.0","false","interacts with","184.0 (interacts with) 185.0"
"834","-1","interacts with","97.0 (interacts with) 362.0","false","interacts with","97.0 (interacts with) 362.0"
